CellV [A^3],Df,NASA [m^2/cm^3],total_SA_volumetric,total_POV_gravimetric,mc_CRY-chi-0-all,mc_CRY-chi-1-all,mc_CRY-chi-3-all,mc_CRY-Z-0-all,mc_CRY-Z-3-all,mc_CRY-T-1-all,mc_CRY-S-0-all,D_mc_CRY-S-2-all,sum-mc_CRY-chi-0-all,sum-mc_CRY-Z-1-all,lc-chi-3-all,lc-Z-0-all,lc-Z-2-all,lc-T-1-all,lc-alpha-0-all,D_lc-chi-1-all,D_lc-chi-3-all,D_lc-T-1-all,D_lc-T-3-all,D_lc-S-1-all,D_lc-alpha-2-all,func-chi-0-all,func-Z-1-all,D_func-chi-1-all,D_func-chi-3-all,D_func-Z-2-all,D_func-T-3-all,D_func-S-1-all,f-lig-T-1,sum-D_lc-Z-1-all,sum-D_lc-Z-3-all,sum-D_lc-T-2-all,sum-D_lc-alpha-1-all,sum-func-T-3-all,sum-D_func-chi-2-all,sum-D_func-T-1-all,sum-D_func-T-2-all,sum-f-lig-T-1,MNC,MPC,pure_CO2_kH,pure_CO2_widomHOA,pure_methane_kH,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_580000,logKH_CH4,temperature,time,solvent1,solvent2,solvent3,additive,param3,param4,param5,additive_category
4640.63,6.85436,0.0,2289.74,0.85543,2.8561,23.2544,38.33765,2304.0,2544.0,38.0,2.1904,2.485,22.8488,12288,17.544,64.0,112.0,3.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,9.8896,80.25,0.59,3.175,2.75,-2.5,-0.025,404.0,8.0,16.0,-8.0,-24.0,90.0,5.3,-5.0,-11.0,1616,-0.539,1.235,0.000272259,-28.75771127,5.28e-06,2.559731685,2.80913214,-5.277056917,85,48,962,31374,0,944,-0.110283159,-0.003003152,0.082883502,2
9201.52,5.7276,0.0,1602.53,0.449888,2.7225,27.72,73.9365,900.0,2400.0,60.0,1.7161,3.78,43.56,18720,28.15253333,59.0,130.6666667,14.0,36.98,1.083333333,2.866666667,-2.333333333,1.333333333,-0.046666667,-2.1,6.657066667,68.0,0.406666667,1.86,14.66666667,-4.0,0.146666667,240.0,56.0,352.0,40.0,-189.6,160.0,19.52,-32.0,-64.0,5760,-0.464,1.215,4.34e-05,-19.99442627,9.53e-06,0.651607774,3.490106127,-5.020796375,120,48,6228,0,0,0,-0.110283159,-0.003003152,0.082883502,1
17600.1,4.93156,0.0,854.358,0.171463,2.7225,26.488,62.238,900.0,2640.0,48.0,1.7161,2.16,98.01,40320,17.544,64.0,112.0,3.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,11.8336,54.66666667,1.923333333,3.91,4.0,-2.666666667,0.26,716.0,48.0,96.0,-48.0,-144.0,440.0,42.72,-8.0,-56.0,17184,-0.629,1.248,0.000105698,-29.28047276,2e-05,0.762435952,1.853549686,-4.698716016,140,12,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1
5615.56,3.74063,0.0,645.979,0.156508,1.21,25.828,44.8855,4225.0,5785.0,108.5,2.8224,7.735,19.36,56680,22.72348,60.75,118.0666667,4.95,33.8685,0.9095,1.125333333,-2.0,-2.266666667,-0.04,-5.761666667,9.6736,83.83333333,1.665,-0.043333333,7.0,2.666666667,0.276666667,150.0,48.0,82.4,-48.0,-153.36,324.0,39.96,32.0,52.0,3600,-0.509,1.953,0.0106962,-46.32063412,1.63e-05,3.036591189,2.489580706,-4.786989881,110,48,962,702,0,8471,0.389716841,0.06606585,-0.271501052,0
3224.33,5.01976,0.0,1802.64,0.523783,3.6481,26.2816,40.8931,784.0,1400.0,36.0,1.4641,2.16,29.1848,7168,18.80533333,64.0,112.0,3.0,28.09,0.89,1.986666667,-2.0,-4.0,-0.04,-6.0,11.8336,52.0,1.51,1.78,2.0,-3.0,0.14,446.0,8.0,20.66666667,-8.666666667,-24.0,36.0,3.56,-4.0,-4.0,1784,-0.585,1.08,0.000933701,-39.48848329,8.74e-06,3.363011456,3.594780917,-5.058714718,105,72,962,6228,0,0,-0.110283159,-0.003003152,0.082883502,1
17890.7,6.71346,0.0,2128.21,1.14825,2.7225,22.704,39.534,900.0,1680.0,32.0,1.7161,2.16,65.34,23040,17.544,64.0,112.0,3.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,11.8336,96.0,1.78,6.04,20.0,-2.0,-0.08,888.0,16.0,32.0,-16.0,-48.0,224.0,41.2,-24.0,-8.0,7104,-0.501,1.204,9.08e-05,-23.84229305,1.01e-05,1.34648462,4.554878457,-4.997173276,85,12,6228,13387,0,0,-0.110283159,-0.089079437,0.295377468,1
8601.87,4.59437,0.0,1383.85,0.36983,2.3722,25.7528,48.194,2477.0,3562.0,80.5,2.205,6.4,18.9776,17340,28.3648,56.5,122.5,7.5,41.425,0.935,2.045,-2.0,-3.0,-0.04,-7.4,11.8336,48.0,0.89,1.78,2.0,-4.0,-0.04,306.0,16.0,52.0,-16.0,-55.2,48.0,7.12,-16.0,-16.0,2448,-1.033,1.87,0.00041377,-33.81586867,1.28e-05,3.151685591,2.649726662,-4.893778496,80,72,962,31374,0,0,0.223050174,0.002766831,0.307107154,1
797.599,3.46778,764.824,764.824,0.230251,3.61,26.144,45.524,841.0,1624.0,36.0,1.9044,2.44,10.83,2784,17.544,64.0,112.0,3.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,11.8336,48.0,0.89,1.78,2.0,-4.0,-0.04,240.0,4.0,8.0,-4.0,-12.0,12.0,1.78,-4.0,-4.0,480,-0.415,0.914,0.000357346,-31.22989442,1.77e-05,2.554919998,2.925420328,-4.751090453,150,24,962,0,0,14798,-0.110283159,0.083073132,-0.129610464,0
3245.5,4.97084,0.0,1567.12,0.347136,2.8561,20.8884,67.16905,2304.0,3648.0,46.0,2.1904,5.325,22.8488,10944,21.55075556,51.5,131.4444444,10.5,50.315,0.965,1.093888889,-2.0,-1.611111111,-0.04,-2.866666667,10.1056,62.66666667,1.346666667,1.643333333,3.333333333,-0.666666667,0.22,166.0,24.0,44.66666667,-6.666666667,-90.0,176.0,10.84,0.0,-8.0,1992,-0.46,1.175,0.00218121,-40.39591915,1.11e-05,3.890342668,3.233141885,-4.954833552,120,72,6228,0,0,0,0.389716841,-0.024257543,-0.004702983,1
2255.79,2.4372,256.816,256.816,0.107751,3.5344,35.72,65.8658,729.0,2092.5,98.0,1.5876,3.34,28.2752,8640,25.2336,56.5,127.75,7.5,41.425,0.935,1.555,-2.0,-2.25,-0.04,-4.475,10.5376,62.5,1.273333333,1.578333333,3.5,-1.666666667,0.153333333,216.0,16.0,44.0,-14.0,-55.2,98.66666667,7.76,-2.666666667,-2.666666667,1728,-1.136,1.191,0.0207382,-47.58702724,3.97e-05,2.120462838,1.790273048,-4.401057462,100,48,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1
4008.76,4.28231,0.0,2007.17,0.580617,2.7225,22.704,39.534,900.0,1680.0,32.0,1.7161,2.16,21.78,7680,17.544,64.0,112.0,3.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,11.8336,48.0,0.89,1.78,2.0,-4.0,-0.04,564.0,8.0,16.0,-8.0,-24.0,24.0,3.56,-8.0,-8.0,2256,-0.502,1.235,0.000203621,-25.6750934,2.85e-05,2.56243211,6.711821873,-4.544454739,90,72,962,6228,0,313,-0.110283159,-0.003003152,0.082883502,2
11788.1,5.80016,0.0,2019.0,0.893498,3.61,26.144,45.524,841.0,1624.0,32.0,1.9044,2.44,21.66,5568,17.544,64.0,112.0,3.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.0,6.0,12.0,-6.0,-18.0,0.0,0.0,0.0,0.0,1926,-0.414,0.909,6.62e-05,-21.97283384,1.88e-05,0.835851128,5.450160895,-4.726191113,70,48,962,6228,0,944,-0.110283159,0.083073132,-0.129610464,2
2464.56,2.4016,7.45459,7.45459,0.0,3.5344,34.2912,86.5552,729.0,1998.0,96.0,1.5876,4.94,7.0688,2268,9.626666667,49.0,86.33333333,8.666666667,54.76,0.653333333,0.886666667,-1.666666667,0.0,-0.026666667,1.266666667,9.2416,116.6666667,0.98,2.333333333,10.0,4.0,-0.04,242.6666667,8.0,28.0,0.0,-31.2,108.0,12.6,4.0,20.0,1456,-0.282,1.12,2.51e-06,-30.03148118,6.77e-06,0.03114871,1.325186641,-5.1695281,140,48,962,887,0,0,-0.110283159,0.083073132,-0.129610464,1
6600.68,5.39642,0.0,1854.34,0.583668,2.7225,22.704,63.7065,900.0,2700.0,40.0,1.7161,1.62,43.56,15360,17.544,64.0,112.0,3.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,24.0,48.0,-24.0,-72.0,0.0,0.0,0.0,0.0,3528,-0.96,1.216,0.000788975,-37.15357885,1.23e-05,1.967002134,4.035810987,-4.910518797,130,28,6228,0,0,0,-0.110283159,-0.089079437,0.295377468,1
11960.3,4.40592,0.109722,1792.179722,0.754998,3.61,26.144,45.524,841.0,1624.0,32.0,1.9044,2.44,21.66,5568,17.544,64.0,112.0,3.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,11.8336,96.0,1.78,3.91,25.0,-2.0,-0.08,734.0,6.0,12.0,-6.0,-18.0,60.0,16.5,-9.0,3.0,2202,-0.759,1.157,9.45e-05,-22.26717163,2.53e-05,1.205486132,6.27576168,-4.596153972,80,72,962,6228,0,313,-0.110283159,0.083073132,-0.129610464,2
